mjd,std_flux,std_flux_error
58204.22685,1.2592738052730166,0.0467711934799942
58204.25153,1.1761366123912231,0.0457253180403104
58207.23162,0.9434493063212368,0.0428076044744539
58207.25981,0.8973440128209759,0.042228493195813
58210.19092,0.7437753303131138,0.0402824263603557
58227.15754,0.7996050970421766,0.0331698674660232
58227.17534,0.5706141926696813,0.0380036334273156
58231.164,0.7570328997689904,0.0327109950835546
58231.19591,0.715526576970812,0.0399192873667725
58234.14434,0.7000459856032432,0.0397192755971322
58234.1448,0.6354148634347467,0.0460052906121167
58234.16304,0.6701440554293352,0.0393304171688594
58234.2194,0.6837343037308707,0.0395075883782156
58237.16044,0.6760757669474093,0.0394078750846875
58237.20289,0.7178434954591212,0.0399491667184732
58244.15797,0.7146561803489868,0.0322531900527328
58247.17266,0.6117480159429702,0.0385592982738053
58247.21879,0.69428015834507,0.0320323430573938
58263.17216,0.6404982593811148,0.0314454362766802
58361.51071,0.7597479796177166,0.0327402992992818
58364.50448,0.6635394582193013,0.031697709903124
58367.50375,0.6713465382384677,0.0317828929920317
58370.47038,0.6544314612265619,0.0391246461527901
58370.50192,0.668728071015109,0.0317543350614753
58373.48287,0.6565635276513737,0.0316214831902782
58373.50322,0.634582614245615,0.0388629526639651
58376.49141,0.6437632331946682,0.0389842351997591
58376.51529,0.6479244277760329,0.031526912618295
58379.48187,0.6147568399243775,0.038599474252345
58379.51641,0.6477836076146518,0.031525367936429
58382.47164,0.5917689437594502,0.0382909085372212
58385.49005,0.7167692566666997,0.0399352866456265
58385.52516,0.6772333769404624,0.0318470128473177
58387.48227,0.5993381926177918,0.0309903616845432
58387.5256,0.6486430505564981,0.0390485163239385
58388.47223,0.6111386767286346,0.0385511325532995
58388.47315,0.5866682287947006,0.0382219699698375
58388.51656,0.6695039657205079,0.0317627982807163
58388.51748,0.6852672139394347,0.0319344069920493
58389.44831,0.6347918897889462,0.0388657030480918
58389.50332,0.6398649978116524,0.0314384843543626
58390.4935,0.575435921936161,0.0380694105917712
58397.48236,0.6332216710253032,0.0388449302113053
58397.51337,0.6439123486122508,0.031482908707028
58423.47827,0.6759823700802219,0.039406592412881
58423.50904,0.7068101115392729,0.0321681994588873
58425.46481,0.6705635672445683,0.031774362345196
58425.46618,0.6485692497180966,0.031533979966868
58425.52019,0.6781681189395147,0.039435127876568
58425.52111,0.6904549849731498,0.0395949497685745
58426.47574,0.6198682177185992,0.0386676362611967
58426.51798,0.6617737766002044,0.031678432131031
58427.46826,0.6437729933743677,0.0314813764970547
58427.51854,0.656092343291341,0.0391464374339167
58428.49883,0.6633970773121167,0.0316961400484249
58428.49975,0.7059032052003399,0.0321583869950385
58428.53088,0.6666639473997577,0.0392849596260266
58428.53178,0.6088554102413793,0.0385205816355299
58429.44495,0.6678432940580232,0.0393003754123398
58429.5184,0.682501411426057,0.031904347312203
58430.36799,0.6165412938724171,0.0456784385137006
58430.43345,0.6195468732347776,0.0386633488139309
58430.46882,0.6966232319972052,0.0320577628398499
58431.47482,0.6099976606620103,0.0385358698824214
58431.47575,0.6763821992580704,0.0394118579293653
58431.51591,0.7636415559187385,0.0327822783707529
58431.51683,0.644796622369075,0.0314926346379135
58432.36741,0.6998084043575471,0.0482069327877105
58432.45056,0.6731151562566892,0.0393692141434396
58432.51978,0.6908369431883284,0.0319949508096401
58434.43159,0.7122783918467206,0.0398773821580744
58434.43252,0.6506828639034657,0.0390753760989291
58434.44274,0.7379095888032058,0.0325046058169381
58434.45478,0.687584936780817,0.0319596069004362
58435.37595,0.8073501937652908,0.049559155597658
58435.50988,0.7089544842581393,0.0321914595321141
58436.34533,0.7427009062453985,0.0487625120424032
58437.39435,0.6736866694365576,0.0318084027100359
58437.39527,0.6597368671729488,0.0316561868127493
58437.47122,0.6817610245224783,0.0394819033435704
58437.47212,0.7043818705043844,0.0397753770531267
58438.44009,0.6851091526865659,0.0468329239380096
58438.44731,0.6644589713023198,0.0392560980078701
58438.51326,0.7003139119769408,0.0320977896250937
58439.33607,0.6798701189130029,0.0479395593869612
58439.40982,0.6922034658958469,0.0469476742153854
58440.51858,0.6743838383430725,0.0318159714563437
58440.51948,0.6934876859506072,0.0320237367182229
58441.36345,0.7106260992685065,0.0483494150044563
58441.43621,0.7408555758722908,0.0325364190330175
58441.47891,0.6852669230620606,0.0395274965160424
58443.28912,0.688819398972456,0.0468930659866848
58443.37133,0.7104552924740802,0.0483472199296891
58443.42476,0.7015295251797428,0.0321109837407341
58443.43676,0.6750605887597374,0.0318233563692175
58443.53038,0.660902461673573,0.039209517304875
58443.53134,0.6774876292243716,0.0394262417559255
58447.44746,0.701665226142631,0.0321124624497694
58447.4549,0.795388218554647,0.0331244327443813
58448.43919,0.7688732540533391,0.0490902964749948
58448.45215,0.7441401780359458,0.0325718800263481
58448.52695,0.6959024313556855,0.0320499155984778
58449.42955,0.6641380364805538,0.0477239239674374
58449.44721,0.7091138271376581,0.0321931764861085
58450.44252,0.7435479310071186,0.0402794969692554
58450.44352,0.7144393546382529,0.039905297003772
58450.54454,0.7248176392541914,0.0323631228547885
58450.54546,0.7103950945019817,0.0322070339999095
58455.49336,0.6792529822274285,0.0318689966917482
58455.49426,0.7045716328780842,0.0321439668105321
58456.24737,0.7785898787842478,0.0329434384368727
58457.26152,0.7030418108068517,0.032127362138318
58457.29175,0.6569969743148548,0.0391583378740673
58461.52079,0.7325653178759386,0.0324468933644773
58461.52173,0.7260450249057769,0.0323763960110911
58464.3232,0.7027184715683861,0.03975384850361
58464.48273,0.6802187038805554,0.0394618258027075
58464.53258,0.6726153183415053,0.031796709525535
58464.53352,0.6885488445559891,0.03197005508305
58465.47255,0.6960934606183127,0.0320520142818671
58465.53505,0.6654725859775401,0.0392693398375103
58468.42112,0.636431064333932,0.0460226505702697
58468.43701,0.6432861031773682,0.0389779654250237
58468.4869,0.6536799343035246,0.0315899382549126
58472.29684,0.6448132512133077,0.0474528542520486
58472.40785,0.6689824949049286,0.031757121801869
58472.40878,0.7059227102961829,0.0321585763246993
58472.5084,0.6494698120840293,0.0390594024342245
58474.34228,0.7270775813381029,0.0323875670316064
58475.5166,0.7103640416282412,0.0398526629206971
58475.51753,0.7554744296975793,0.0404321623626348
58476.44184,0.6435032636343971,0.0474342022045649
58480.43151,0.6555586524573078,0.031610491966183
58480.47812,0.721094477443841,0.039991071185175
58481.45189,0.6501362079871189,0.0475282256453434
58482.56066,0.6596308662698407,0.039192844376903
58482.56158,0.6235690759306545,0.0458010481016811
58486.47678,0.6359408951380712,0.0313953618229784
58490.22253,0.6457564516633043,0.0315031282255561
58493.24914,0.6239292837999268,0.0387216220823134
58493.28205,0.6375237286267721,0.0314127675228005
58502.44029,0.6800110248047383,0.0318772442610249
58503.37086,1.0662001857321248,0.0360652339443771
58503.38863,0.5740275728971659,0.0307068089599518
58503.42341,0.6605844614924777,0.0316654600549087
58503.43985,0.6592570060845279,0.0316509493139166
58503.45622,0.8013081387955856,0.0331882090461922
58505.26413,0.4347147276404397,0.0290493946895653
58505.27624,0.7637301818841898,0.0327832263644223
58505.30218,0.7583693176213488,0.0327254263862719
58505.31491,0.5538686115864236,0.0304783373218013
58505.32774,0.6475533490777117,0.0315228246148507
58505.34142,0.6185168762206228,0.0312032136613113
58505.35549,0.7409244967513096,0.0325371575693198
58505.3694,0.5607467353882601,0.030556597320945
58505.38246,0.6099288185556859,0.0311080994386517
58506.26359,0.6975574057474422,0.0320678864432645
58506.27987,0.687601402495355,0.0319597832282777
58506.29581,0.6526193612370997,0.0315783344237248
58506.31188,0.6023359074718214,0.0310237356696371
58506.32814,0.6724418802578028,0.031794823680653
58506.34538,0.6946383458779689,0.0320361985949505
58506.36308,0.676512699896567,0.0318391745490195
58506.38072,0.634413409236949,0.0313785525184368
58506.39712,0.6624519057920124,0.0316858330567833
58506.41326,0.7289463301167023,0.0324077652568709
58506.44991,0.731918238703565,0.040130277689421
58508.27904,0.5718876972079058,0.046354317144168
58509.24918,0.6836921122807541,0.0395070319073057
58509.27027,0.6304426034948458,0.0313348560119529
58522.22832,0.6620072624738841,0.0316809893436165
58522.41,0.6302768698347586,0.0388059605455406
58526.22811,0.6808131785742003,0.0318859912909469
58526.44167,0.5068779154129732,0.0371134939412313
58534.34279,0.8434659474001645,0.0336425576421249
58540.18487,0.599102276015136,0.0453692961484274
58547.1984,0.6816143952065324,0.0318946847409846
58547.29166,0.5620836718256488,0.0378867865610615
58556.17134,0.6563295437375,0.0316189067067325
58558.20311,0.769682396450537,0.0491003059326855
58559.15391,0.6454422188180017,0.0390063776009654
58561.2282,0.5691754629979592,0.0448208206830888
58562.15678,0.7267408187621794,0.0323839293402357
58562.20365,0.7216565694688585,0.0399983001686727
58562.22074,0.6225625172796904,0.0457835756956983
