mjd,std_flux,std_flux_error
58303.47945,0.4323330134202237,0.0097559800290055
58316.46537,0.5116889047349418,0.0108781219858008
58319.46469,0.6168562935016123,0.0123899354899265
58322.46049,0.5641481911691651,0.0129649483576935
58325.44291,0.553518320691717,0.0128258212750616
58325.48155,0.5294176305672051,0.0111311624271177
58331.43375,0.4075833175913344,0.0094099032685772
58331.47985,0.3974085440956239,0.0108097781302017
58334.46072,0.2787186308838257,0.0076445109953639
58334.47908,0.2941724516863563,0.0095058909421428
58337.43084,0.453460643510016,0.0115274958211146
58337.4854,0.4322290974280807,0.0097545230857467
58340.44173,0.3967644933555697,0.009259264374162
58340.48321,0.4054461678886584,0.0109122557233666
58343.43878,0.3926264922259144,0.0107488792201481
58345.42217,0.4449557260551536,0.0114181381899532
58346.42243,0.4975885749126794,0.0106774470847785
58346.42334,0.5060818941026289,0.0107982589791428
58346.47895,0.5218172118956886,0.0124122190434031
58347.42226,0.4572347189320587,0.010106138038096
58347.46856,0.4735069959702846,0.011785908181032
58348.4211,0.483505256564171,0.0104775455826122
58349.44064,0.4912955155530844,0.0120159466141487
58349.50311,0.4832773040193098,0.0104743128013135
58350.41619,0.460857648991019,0.010157243801198
58350.44599,0.4681316452392226,0.0117165261467457
58351.45901,0.4605601946539852,0.0116189180080755
58351.50642,0.4783480413119477,0.0104044765866925
58352.37775,0.5008826632773595,0.0121402131532183
58352.37867,0.4917541118474485,0.0120218913737734
58352.50534,0.4912086432552042,0.0105868201982612
58352.50672,0.4667466397336067,0.0102403865635129
58353.40439,0.3797012265108161,0.0090225161393237
58353.48535,0.4059622024481823,0.0093873058072988
58354.35392,0.5302726158300588,0.0111433889550181
58354.44208,0.5215351692456756,0.0110185566111179
58355.39921,0.5275606564704536,0.0111046194413689
58355.40013,0.5377088692308584,0.0112497679045294
58355.48254,0.5376380534060556,0.0112487551875412
58356.44159,0.6136659124193157,0.0123437156818563
58356.48231,0.5913061554586913,0.0120203761693886
58357.40115,0.6620780654398778,0.0130472083285042
58357.46554,0.6741622028673415,0.0132234902477022
58358.44353,0.6237486231791343,0.0124898547778847
58358.44445,0.6145652502101205,0.0123567430060437
58362.42294,1.1204178004832153,0.0198761604528857
58362.42952,1.1326340146955685,0.020061329042841
58362.482,1.141458167594739,0.0207561091335038
58362.48292,1.1385780315449685,0.0207164266733007
58363.40018,1.1442243877854972,0.0197483321831529
58363.40209,1.1240758049791924,0.0205166898242296
58363.46445,1.0747058180769866,0.0191844719306107
58364.38107,1.2565622257603732,0.021946803647697
58364.42254,1.358274664500368,0.023758877086885
58365.38881,1.1489755841931724,0.0203092256340893
58365.38971,1.1431309938768692,0.0202205383867014
58365.42238,1.2149231290392484,0.0217702858261301
58365.42426,1.220888491640453,0.0218527985345895
58366.38983,1.0907589872007204,0.0194271625248761
58366.43704,1.2053312043845867,0.0216376723201582
58367.40053,1.3807924382049357,0.0238486089467052
58367.43832,1.4830001672250406,0.0254980913715904
58368.40766,1.3983503646481377,0.0243168619573352
58368.40857,1.42733922206996,0.0247209886258615
58368.42464,1.3668775166777365,0.0236350499768922
58368.42555,1.3280095556646696,0.0230392305584429
58369.40424,1.270448895484641,0.022158831341838
58369.46084,1.3383237960571122,0.0234814182050196
58370.43922,1.2493116792008083,0.0218361521141313
58371.36531,1.2476512326312768,0.0222232226040839
58371.3664,1.2519206412702462,0.0222823640059995
58371.424,1.1963272631441015,0.021028817866528
58371.42675,1.1832120937867516,0.020829323872326
58372.39976,1.6108548165434415,0.0273972827980108
58372.42284,1.8155708446185053,0.030168323562364
58373.41747,1.6163001007402245,0.0273647688194558
58373.45035,1.483312989855199,0.0254259668254644
58374.38378,1.625562230477933,0.0276252006497902
58374.39999,1.6660222608048036,0.0282528224235379
58374.42517,1.8593399470115652,0.030785972829306
58374.42615,1.855174644611302,0.0307271628784245
58375.42191,1.6461401209784254,0.0279442980023327
58376.46204,1.5448317974626298,0.0263629998635996
58377.3838,1.8074487842457871,0.0300537733220212
58377.38471,1.822933390750458,0.0302721745084569
58377.40737,1.7112678845497362,0.0289557174300485
58377.40829,1.6753471067997114,0.0283975967114975
58378.41789,1.7985445509338005,0.030314531936016
58378.44522,1.8785865127118373,0.0310577639100443
58379.42187,1.7350484233836356,0.0293255748633647
58379.44596,1.9054659829530505,0.0314375430874797
58380.41556,2.0530182028037416,0.0335261560781027
58380.42521,1.943886035999283,0.0325855237580928
58380.44294,1.917608738057052,0.0321742125669737
58382.36145,1.951182984451984,0.0326998003577674
58382.38755,2.117832457816205,0.034445540553302
58383.38471,1.431064472199535,0.0246212393587107
58383.39853,1.3771625367921383,0.0237928891387445
58383.44143,1.473815772670558,0.0253697586589382
58383.44234,1.4604772623964422,0.0251834577546029
58384.38256,1.408913725489319,0.023266853292456
58384.47787,1.4774704378317374,0.025420815692077
58385.29918,1.6827438035195172,0.0285124694246091
58385.39515,1.5509050138848246,0.0264480469257059
58386.40891,1.2593811829458474,0.0219898340450093
58386.41165,1.2057053833610225,0.0211715537064813
58386.46892,1.2282048273347377,0.0219540216009137
58386.48018,1.310151746131635,0.0230899961477788
58389.32625,1.5405379453729204,0.0263092669920113
58389.38346,1.7346313854227655,0.0290278424743687
58390.30244,1.4853390536569395,0.0254572096158773
58390.30289,1.498467058194576,0.0256596850238739
58390.30335,1.5532408360390524,0.0265056102572593
58390.30382,1.508132156138939,0.0258088212441504
58390.30427,1.5407848516486726,0.0263130857252488
58390.38867,1.5355685190783386,0.0249720037357626
58397.34365,1.4866461140827425,0.0255490406065645
58397.40713,1.5129312728519624,0.0258828972769016
58427.30048,1.0485665516814502,0.0194792611009893
58430.20964,1.1458970463616742,0.0202625106821712
58430.25735,1.2635266314171565,0.0224431716467148
58434.27564,1.132374289053791,0.0206309646228468
58434.31568,1.1137199519950205,0.0197746987801006
58436.22144,0.8110252957533064,0.0154376943817338
58437.23508,0.8944935225842912,0.0173774055933144
58437.27695,0.8619331817065362,0.0159926440502089
58447.34064,1.4963886312343195,0.0256276222038354
58456.19359,1.832986219826648,0.0308517903471031
58456.26259,1.873073415625499,0.0314778311390532
58464.25545,1.0094927400885587,0.0182011083651119
58468.25506,1.131974907634282,0.0200513336105979
58468.29767,1.144258112109911,0.0207946916977899
58471.17448,1.9448172592863169,0.0326001067132998
58471.17544,2.014095225744611,0.0336859955645383
58472.1258,1.5978514459231965,0.0271958676446051
58472.16996,1.638516427853618,0.0276765957134209
58474.10791,1.1610731979956437,0.0210265381166285
58474.12652,1.1956200793261524,0.0215034669935782
58474.16668,1.1967724966582665,0.0210355879434223
58474.1676,1.1630532521163408,0.0205229682947915
58475.12717,1.1288504228526446,0.0205824276522055
58475.14898,1.127915071880624,0.0199897879490969
58482.15084,1.3622888435965776,0.0238147321344927
58486.10785,1.1653951329230792,0.0205585412556962
58487.12262,1.085430447887254,0.0193465798208255
58487.12353,1.095329539147369,0.0194963073480853
58487.14692,1.0612047860755598,0.0196525906167011
58490.10568,1.1313328559375384,0.0206166199574658
58490.12797,1.1506986405152513,0.0203353772979661
58491.1129,1.1903064857744474,0.0209372187989919
58491.12945,1.2389095480886565,0.0221021824612009
58493.16942,1.2774067302865686,0.0226356000180984
58494.14995,1.2603593861151303,0.0223992788295283
58494.16146,1.253150408460835,0.0222993953307377
58503.08631,0.8265470876855457,0.0154669055416242
58503.14698,0.8193170639075048,0.01636046003419
58505.17081,0.8837682598291562,0.017231944809227
58509.1698,1.6079672533937843,0.0272478564024174
58509.17071,1.6048217438327452,0.0272037335128209
58511.11042,1.8906694204017689,0.0317528635745561
58511.12662,1.9915994606909493,0.0326560005811912
58675.44881,0.5814136184067434,0.0131913766644017
58678.44218,0.4202076939306012,0.0111008431050698
58681.45901,0.5020807839318544,0.0107413202120521
58681.46514,0.5324578080685218,0.0125508177122683
58684.43763,0.5477454769149578,0.0127503507461784
58684.43853,0.5047849522320953,0.0121908443127561
58684.46156,0.5313051186877975,0.0111581465347077
58684.46247,0.5289195259220204,0.0111240412072693
58686.42043,0.5358815439938084,0.0112236159590228
58692.48665,0.7386372403978445,0.0141683028316142
58695.44246,0.4815821707572189,0.0118902473713174
58695.46487,0.5041641956037736,0.0107709655734056
58698.45692,0.4683313172880955,0.0117191050621028
58701.46251,0.5336611650543033,0.0125665073250543
58704.46116,0.4688928388049423,0.0117263458620933
58704.48287,0.4871626676997355,0.0105294059278537
